date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2024-07-03,125.0,0.0,0.0,137.0,127.0,137.0,12.0,102716300.0,13628623700.0,13641.0,109.6,0.0,0.0,137.0,12836900.0,800000000.0,240000000.0,0.0,3015800.0,300000.0,,0.0,0.0,0.0
2024-07-04,137.0,0.0,0.0,150.0,135.0,150.0,13.0,40651300.0,5966819900.0,4621.0,120.0,150.0,597500.0,149.0,222500.0,800000000.0,240000000.0,0.0,1413600.0,648000.0,,0.0,0.0,0.0
2024-07-05,150.0,0.0,0.0,152.0,135.0,146.0,-4.0,34303900.0,4880514600.0,3133.0,116.8,147.0,1044100.0,146.0,14600.0,800000000.0,240000000.0,0.0,274000.0,0.0,,0.0,0.0,0.0
2024-07-08,146.0,0.0,0.0,160.0,144.0,160.0,14.0,10218600.0,1584178700.0,1701.0,128.0,0.0,0.0,160.0,304000.0,800000000.0,240000000.0,0.0,70000.0,11800.0,,0.0,0.0,0.0
2024-07-09,160.0,0.0,0.0,176.0,153.0,176.0,16.0,6640500.0,1109863300.0,1262.0,140.8,0.0,0.0,176.0,523700.0,800000000.0,240000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-07-10,176.0,0.0,0.0,193.0,177.0,193.0,17.0,10098500.0,1923198900.0,864.0,154.4,0.0,0.0,193.0,794000.0,800000000.0,240000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-07-11,193.0,0.0,0.0,212.0,187.0,212.0,19.0,30324000.0,6040990600.0,1576.0,169.6,0.0,0.0,212.0,1272700.0,800000000.0,240000000.0,0.0,10000.0,0.0,,0.0,0.0,0.0
2024-07-12,212.0,0.0,0.0,232.0,197.0,208.0,-4.0,21118600.0,4629268800.0,2601.0,166.4,208.0,31800.0,206.0,44000.0,800000000.0,240000000.0,0.0,799200.0,13600.0,,0.0,0.0,0.0
2024-07-15,208.0,0.0,0.0,224.0,208.0,222.0,14.0,25860000.0,5672880000.0,1386.0,177.6,224.0,98700.0,222.0,58000.0,800000000.0,240000000.0,0.0,13600.0,34500.0,,0.0,0.0,0.0
2024-07-16,222.0,0.0,0.0,244.0,220.0,244.0,22.0,18548700.0,4332477800.0,1572.0,195.2,244.0,454600.0,242.0,20400.0,800000000.0,240000000.0,0.0,14500.0,33200.0,,0.0,0.0,0.0
2024-07-17,244.0,0.0,0.0,266.0,244.0,262.0,18.0,25844000.0,6701082600.0,2278.0,209.6,264.0,319300.0,262.0,126600.0,800000000.0,240000000.0,0.0,13200.0,11900.0,,0.0,0.0,0.0
